category,year,exp,rev
685,1985,156630,99007
685,1986,165090,119309
685,1987,170160,109234
686,1979,187790,145176
686,1980,180710,132149
686,1981,194030,162675
686,1982,192170,140808
686,1983,167200,114967
686,1984,175300,128346
686,1985,170860,115552
686,1986,176580,135998
686,1987,192160,136955
687,1979,211450,159645
687,1980,209360,161915
687,1981,223740,174157
687,1982,238350,199015
687,1983,197280,144740
687,1984,189690,135138
687,1985,200280,146300
687,1986,201450,145507
687,1987,206090,164480
760,1979,161930,126012
760,1980,172030,139253
760,1981,181430,129366
760,1982,187280,136337
760,1983,149610,105379
760,1984,144500,96400
760,1985,151030,103072
760,1986,159590,127912
760,1987,169990,122334
761,1979,182820,128812
761,1980,172450,130346
761,1981,185040,138405
761,1982,185390,140972
761,1983,165720,104285
761,1984,165620,105992
761,1985,194230,135004
761,1986,175100,110678
761,1987,196080,123253
763,1979,173030,122851
763,1980,170060,114591
763,1981,166380,126928
763,1982,171550,113098
763,1983,150170,94853
763,1984,144780,99639
763,1985,156540,95931
763,1986,167290,114581
763,1987,160290,112986
764,1979,167350,136050
764,1980,172510,128244
764,1981,182300,136603
764,1982,178380,133893
764,1983,147000,103754
764,1984,153050,106776
764,1985,172140,110373
764,1986,171970,130948
764,1987,176610,118071
765,1979,168070,137015
765,1980,165620,124473
765,1981,164260,142031
765,1982,178010,130812
765,1983,160060,99331
765,1984,171080,140221
765,1985,151280,111733
765,1986,174200,155232
765,1987,166930,115107
767,1979,178370,153489
767,1980,184690,145953
767,1981,185860,142504
767,1982,196940,153238
767,1983,162480,117055
767,1984,168350,118998
767,1985,176280,129327
767,1986,176250,131381
767,1987,185270,132601
780,1979,188920,153478
780,1980,179200,139496
780,1981,183760,138979
780,1982,182010,139178
780,1983,156960,112151
780,1984,155450,111810
780,1985,160110,112131
780,1986,171170,112552
780,1987,183890,119261
781,1979,169540,129631
781,1980,169040,132520
781,1981,183190,138690
781,1982,186110,132228
781,1983,171420,126118
781,1984,167310,121148
781,1985,162750,122886
781,1986,172430,119669
781,1987,175100,118072
821,1979,179630,121179
821,1980,176610,133575
821,1981,167230,114935
821,1982,201210,161987
821,1983,164530,89610
821,1984,164590,107125
821,1985,149750,105336
821,1986,167770,100173
821,1987,168390,100957
834,1979,157700,95933
834,1980,150750,128683
834,1981,142540,88346
834,1982,156770,91045
834,1983,132070,75260
834,1984,138870,83728
834,1985,138210,82591
834,1986,142410,84012
834,1987,148440,92020
840,1979,155080,112819
840,1980,155290,123785
840,1981,163290,114406
840,1982,156200,117002
840,1983,145950,90445
840,1984,132500,96701
840,1985,131520,91819
840,1986,136920,95418
840,1987,148320,98832
860,1979,178310,140583
860,1980,190590,136262
860,1981,175580,126863
860,1982,189350,129835
860,1983,149760,96044
860,1984,151780,100981
860,1985,166160,110143
860,1986,174910,129002
860,1987,169460,112677
861,1979,159760,123302
861,1980,159590,118971
861,1981,166020,125744
861,1982,168110,121934
861,1983,141390,107124
861,1984,142550,101865
861,1985,147810,105965
861,1986,160310,115399
861,1987,172960,123381
862,1979,168280,129578
862,1980,162200,129425
862,1981,164870,121842
862,1982,175250,130492
862,1983,149350,107557
862,1984,155270,107961
862,1985,175320,130472
862,1986,170070,137060
862,1987,184610,137639
880,1979,177820,141728
880,1980,190290,142023
880,1981,186890,148272
880,1982,198880,159685
880,1983,161780,122384
880,1984,168840,123130
880,1985,175400,131159
880,1986,185110,131293
880,1987,193390,133835
881,1979,180410,141592
881,1980,181630,147560
881,1981,197530,139300
881,1982,200720,139532
881,1983,164410,125495
881,1984,164450,115523
881,1985,173960,172032
881,1986,177250,133243
881,1987,184700,134580
882,1979,208290,167650
882,1980,213380,164765
882,1981,229300,183115
882,1982,251290,198201
882,1983,180690,122308
882,1984,185660,131436
882,1985,179340,129485
882,1986,190640,132944
882,1987,227690,161181
883,1979,169790,130207
883,1980,175260,125616
883,1981,181870,137731
883,1982,183060,136897
883,1983,156880,110319
883,1984,154730,102238
883,1985,166740,108428
883,1986,166350,117452
883,1987,168160,112756
884,1979,177170,139354
884,1980,192170,141258
884,1981,188600,150832
884,1982,190480,145150
884,1983,153360,103359
884,1984,150100,102998
884,1985,151490,107172
884,1986,157420,114458
884,1987,170110,120613
885,1979,168160,124636
885,1980,165400,121947
885,1981,160240,113252
885,1982,160560,117715
885,1983,137660,85512
885,1984,132540,88615
885,1985,139910,89380
885,1986,136690,91760
885,1987,148460,103715
1060,1979,168700,121795
1060,1980,165190,120994
1060,1981,178100,125824
1060,1982,200230,138532
1060,1983,165860,101445
1060,1984,176820,111032
1060,1985,170080,107721
1060,1986,168030,134949
1060,1987,174720,118608
1080,1979,182560,151180
1080,1980,188000,146829
1080,1981,220980,175745
1080,1982,227480,183053
1080,1983,171130,126463
1080,1984,191840,132474
1080,1985,183770,134931
1080,1986,194270,131801
1080,1987,199900,137125
1081,1979,192980,148486
1081,1980,190090,138473
1081,1981,192410,148985
1081,1982,202720,146776
1081,1983,178490,122713
1081,1984,177680,130594
1081,1985,192450,128515
1081,1986,200900,145715
1081,1987,218470,147266
1082,1979,198940,166792
1082,1980,189540,151156
1082,1981,202430,152305
1082,1982,210850,166362
1082,1983,181200,135125
1082,1984,178600,128644
1082,1985,172340,116398
1082,1986,172670,126130
1082,1987,172380,127760
1083,1979,176960,148524
1083,1980,179080,138794
1083,1981,202520,157598
1083,1982,223890,168214
1083,1983,181640,119335
1083,1984,200420,151036
1083,1985,193750,122943
1083,1986,191240,131266
1083,1987,189710,132801
1121,1979,139680,108884
1121,1980,146700,99463
1121,1981,148970,103854
1121,1982,163360,117031
1121,1983,144630,91692
1121,1984,147110,92122
1121,1985,146820,87873
1121,1986,155850,91699
1121,1987,159690,111321
1137,1979,152020,116855
1137,1980,149900,113372
1137,1981,172130,122372
1137,1982,182080,129427
1137,1983,152190,109566
1137,1984,151000,120941
1137,1985,146410,112668
1137,1986,163770,118019
1137,1987,163040,119491
1160,1979,148740,123882
1160,1980,151390,110238
1160,1981,165290,114477
1160,1982,159920,113556
1160,1983,133560,93418
1160,1984,141610,90877
1160,1985,154250,111333
1160,1986,160290,115856
1160,1987,164390,121707
1162,1979,129190,99380
1162,1980,126050,99176
1162,1981,146330,115436
1162,1982,154800,111101
1162,1983,125350,81429
1162,1984,132830,91887
1162,1985,136770,95574
1162,1986,150290,112264
1162,1987,155570,116848
1163,1979,157190,120647
1163,1980,155410,119384
1163,1981,159200,122336
1163,1982,168500,122289
1163,1983,145720,95142
1163,1984,158470,109002
1163,1985,162830,101842
1163,1986,160400,121007
1163,1987,167650,121575
1165,1979,149460,133055
1165,1980,153730,128858
1165,1981,174210,135038
1165,1982,200330,161448
1165,1983,157210,102755
1165,1984,159890,94138
1165,1985,157250,113019
1165,1986,238830,198140
1165,1987,178980,123132
1166,1979,176580,141201
1166,1980,181730,132544
1166,1981,199850,145679
1166,1982,207740,158675
1166,1983,184890,131543
1166,1984,191920,123450
1166,1985,198480,143426
1166,1986,186950,142734
1166,1987,188600,132610
1167,1979,164920,131753
1167,1980,159720,118374
1167,1981,170110,126436
1167,1982,176020,127308
1167,1983,151150,108494
1167,1984,162870,103232
1167,1985,169880,115550
1167,1986,174410,114718
1167,1987,172260,121765
1168,1979,162640,139754
1168,1980,159730,125687
1168,1981,157750,127361
1168,1982,158870,130681
1168,1983,129630,97105
1168,1984,131060,95287
1168,1985,140120,102140
1168,1986,136810,99055
1168,1987,154830,104733
1180,1979,175020,142617
1180,1980,178400,140351
1180,1981,183730,144960
1180,1982,189130,147250
1180,1983,163830,118279
1180,1984,170270,123023
1180,1985,174510,122329
1180,1986,175730,128925
1180,1987,183830,123303
1181,1979,165480,137284
1181,1980,170950,133633
1181,1981,185510,149639
1181,1982,192060,141480
1181,1983,154650,101181
1181,1984,147890,100680
1181,1985,146510,98751
1181,1986,161670,115691
1181,1987,162590,121559
1182,1979,178820,147054
1182,1980,187580,147010
1182,1981,188330,159474
1182,1982,199610,166029
1182,1983,173960,127503
1182,1984,162770,128180
1182,1985,171930,134154
1182,1986,174170,134530
1182,1987,185690,140285
1183,1979,174290,140131
1183,1980,172080,125522
1183,1981,181990,139172
1183,1982,188640,133481
1183,1983,162020,109219
1183,1984,159960,116353
1183,1985,164280,116294
1183,1986,163520,119378
1183,1987,169690,123930
1214,1979,145160,118786
1214,1980,152300,112866
1214,1981,161860,115956
1214,1982,155590,112972
1214,1983,136110,93678
1214,1984,140240,92676
1214,1985,136910,94762
1214,1986,135320,98619
1214,1987,150600,106346
1230,1979,159850,122729
1230,1980,183230,133678
1230,1981,186930,137504
1230,1982,180000,132300
1230,1983,145240,88679
1230,1984,145020,90144
1230,1985,151180,95465
1230,1986,146950,100089
1230,1987,146580,112368
1231,1979,162730,144183
1231,1980,176740,131695
1231,1981,185610,141911
1231,1982,184340,151346
1231,1983,160880,124180
1231,1984,153590,111871
1231,1985,151610,112892
1231,1986,158460,122286
1231,1987,161650,121653
1233,1979,170620,122826
1233,1980,161080,120056
1233,1981,171700,131765
1233,1982,166220,124055
1233,1983,136850,107098
1233,1984,143360,104963
1233,1985,154490,106274
1233,1986,162490,117829
1233,1987,153380,111965
1260,1979,158350,134605
1260,1980,171440,123053
1260,1981,169820,131563
1260,1982,179800,134745
1260,1983,144880,89750
1260,1984,143090,93126
1260,1985,146060,91778
1260,1986,146500,94618
1260,1987,153860,100620
1261,1979,182610,154392
1261,1980,176180,135549
1261,1981,186690,146848
1261,1982,193710,144500
1261,1983,170210,116976
1261,1984,162440,109955
1261,1985,187650,129575
1261,1986,170510,124525
1261,1987,171130,121888
1262,1979,169240,144292
1262,1980,181170,141167
1262,1981,188290,141442
1262,1982,188510,149817
1262,1983,155260,130871
1262,1984,153320,120696
1262,1985,180090,143209
1262,1986,166740,129627
1262,1987,180470,134873
1264,1979,149450,111652
1264,1980,192470,123189
1264,1981,167210,116284
1264,1982,169990,119695
1264,1983,151120,99223
1264,1984,148400,97901
1264,1985,147280,99343
1264,1986,162910,114115
1264,1987,161360,104252
1265,1979,147290,120260
1265,1980,158360,119330
1265,1981,156970,115461
1265,1982,163700,62285
1265,1983,130710,91463
1265,1984,135500,97169
1265,1985,134530,92679
1265,1986,138680,97960
1265,1987,158570,101917
1266,1979,159720,135525
1266,1980,166790,146978
1266,1981,193750,143203
1266,1982,172410,133876
1266,1983,134890,101322
1266,1984,148540,111238
1266,1985,150110,114397
1266,1986,155510,111341
1266,1987,166620,115487
1267,1979,173840,161739
1267,1980,190050,133924
1267,1981,185830,143845
1267,1982,195730,161996
1267,1983,155410,112690
1267,1984,177630,124916
1267,1985,163600,111358
1267,1986,173660,127046
1267,1987,190550,143824
1281,1979,217920,190192
1281,1980,225210,181912
1281,1981,233400,195327
1281,1982,240030,193004
1281,1983,214630,166704
1281,1984,220110,171059
1281,1985,238310,190757
1281,1986,236080,213157
1281,1987,232320,180410
1282,1979,259890,213177
1282,1980,233280,191751
1282,1981,223680,179562
1282,1982,237000,190518
1282,1983,230090,185160
1282,1984,220410,169867
1282,1985,222970,182630
1282,1986,227620,175573
1282,1987,248650,207608
1283,1979,279620,246014
1283,1980,297000,251873
1283,1981,321330,274311
1283,1982,316230,280432
1283,1983,222250,189803
1283,1984,225670,178697
1283,1985,242550,205831
1283,1986,241780,185696
1283,1987,248350,201822
1284,1979,189200,152127
1284,1980,195150,153613
1284,1981,195420,149944
1284,1982,184350,155967
1284,1983,168520,127741
1284,1984,168320,125112
1284,1985,167770,123080
1284,1986,164840,127154
1284,1987,174600,137513
1285,1979,211430,170863
1285,1980,207730,183318
1285,1981,222720,181777
1285,1982,235650,188261
1285,1983,181140,129774
1285,1984,187400,135652
1285,1985,206950,153811
1285,1986,214530,168239
1285,1987,206010,153992
1286,1979,216160,180422
1286,1980,236270,201206
1286,1981,246990,198009
1286,1982,243560,191738
1286,1983,192840,152604
1286,1984,196260,154159
1286,1985,196910,150063
1286,1986,209080,167505
1286,1987,229840,166798
1287,1979,209310,168631
1287,1980,213170,170896
1287,1981,227830,178476
1287,1982,224190,179108
1287,1983,173730,128088
1287,1984,180300,134764
1287,1985,193080,136192
1287,1986,196580,141777
1287,1987,194690,144958
1315,1979,131080,110892
